time,price,bid,ask
2016-04-07 11:49:57.151742,17.369,17.32,17.31
2016-04-07 11:49:57.661753,17.369,17.32,17.31
2016-04-07 11:49:58.174953,17.369,17.32,17.31
2016-04-07 11:49:58.637905,17.369,17.32,17.31
2016-04-07 11:49:59.110531,17.369,17.32,17.31
2016-04-07 11:49:59.606651,17.369,17.32,17.31
2016-04-07 11:50:00.069291,17.369,17.32,17.31
2016-04-07 11:50:00.553701,17.369,17.32,17.31
2016-04-07 11:50:01.147132,17.369,17.32,17.31
2016-04-07 11:50:01.767164,17.369,17.32,17.31
2016-04-07 11:50:02.276408,17.369,17.32,17.31
2016-04-07 11:50:02.785312,17.369,17.32,17.31
2016-04-07 11:50:03.245943,17.369,17.32,17.31
2016-04-07 11:50:03.918524,17.369,17.32,17.31
2016-04-07 11:50:04.418106,17.369,17.32,17.31
2016-04-07 11:50:04.932239,17.369,17.32,17.31
2016-04-07 11:50:05.548500,17.369,17.32,17.31
2016-04-07 11:50:06.057376,17.369,17.32,17.31
2016-04-07 11:50:06.940817,17.369,17.32,17.31
2016-04-07 11:50:07.494624,17.369,17.32,17.31
2016-04-07 11:50:07.660561,17.369,17.32,17.31
2016-04-07 11:50:07.842123,17.369,17.32,17.31
2016-04-07 11:50:08.021519,17.369,17.32,17.31
2016-04-07 11:50:08.187903,17.369,17.32,17.31
2016-04-07 11:50:08.359960,17.369,17.32,17.31
2016-04-07 11:50:08.525312,17.369,17.32,17.31
2016-04-07 11:50:08.709777,17.369,17.32,17.31
2016-04-07 11:50:08.889848,17.369,17.32,17.31
2016-04-07 11:50:09.051358,17.369,17.32,17.31
2016-04-07 11:50:09.224054,17.365,17.32,17.31
2016-04-07 11:50:09.395279,17.365,17.32,17.31
2016-04-07 11:50:09.674004,17.365,17.32,17.31
2016-04-07 11:50:09.840584,17.365,17.32,17.31
2016-04-07 11:50:10.013028,17.365,17.32,17.31
2016-04-07 11:50:10.185345,17.365,17.32,17.31
2016-04-07 11:50:10.357649,17.365,17.32,17.31
2016-04-07 11:50:10.525055,17.365,17.32,17.31
2016-04-07 11:50:10.716903,17.365,17.32,17.31
2016-04-07 11:50:10.886148,17.365,17.32,17.31
2016-04-07 11:50:11.052724,17.365,17.32,17.31
2016-04-07 11:50:11.259314,17.365,17.32,17.31
2016-04-07 11:50:11.435327,17.365,17.32,17.31
2016-04-07 11:50:11.599939,17.365,17.32,17.31
2016-04-07 11:50:11.772343,17.365,17.32,17.31
2016-04-07 11:50:11.947834,17.365,17.32,17.31
2016-04-07 11:50:12.115417,17.365,17.32,17.31
2016-04-07 11:50:12.287054,17.365,17.32,17.31
2016-04-07 11:50:12.455553,17.365,17.32,17.31
2016-04-07 11:50:12.631588,17.365,17.32,17.31
2016-04-07 11:50:12.795500,17.365,17.32,17.31
2016-04-07 11:50:12.967878,17.369,17.32,17.31
2016-04-07 11:50:13.435780,17.369,17.32,17.31
2016-04-07 11:50:13.618542,17.369,17.32,17.31
2016-04-07 11:50:13.802522,17.369,17.32,17.31
2016-04-07 11:50:14.025136,17.369,17.32,17.31
2016-04-07 11:50:14.269229,17.369,17.32,17.31
2016-04-07 11:50:14.470572,17.369,17.32,17.31
2016-04-07 11:50:14.648615,17.369,17.32,17.31
2016-04-07 11:50:14.812299,17.369,17.32,17.31
2016-04-07 11:50:14.973699,17.369,17.32,17.31
2016-04-07 11:50:15.176906,17.369,17.32,17.31
2016-04-07 11:50:15.347014,17.369,17.32,17.31
2016-04-07 11:50:15.528196,17.369,17.32,17.31
2016-04-07 11:50:15.692302,17.369,17.32,17.31
2016-04-07 11:50:15.884448,17.369,17.32,17.31
2016-04-07 11:50:16.059091,17.369,17.32,17.31
2016-04-07 11:50:16.231247,17.369,17.32,17.31
2016-04-07 11:50:16.402479,17.369,17.32,17.31
2016-04-07 11:50:16.566584,17.369,17.32,17.31
2016-04-07 11:50:16.723972,17.369,17.32,17.31
2016-04-07 11:50:16.891350,17.369,17.32,17.31
2016-04-07 11:50:17.075675,17.369,17.32,17.31
2016-04-07 11:50:17.240264,17.369,17.32,17.31
2016-04-07 11:50:17.399601,17.369,17.32,17.31
2016-04-07 11:50:17.573081,17.369,17.32,17.31
2016-04-07 11:50:17.878833,17.369,17.32,17.31
2016-04-07 11:50:18.045770,17.369,17.32,17.31
2016-04-07 11:50:18.221064,17.369,17.32,17.31
2016-04-07 11:50:18.396729,17.369,17.32,17.31
2016-04-07 11:50:18.569296,17.369,17.32,17.31
2016-04-07 11:50:18.747850,17.369,17.32,17.31
2016-04-07 11:50:18.938993,17.369,17.32,17.31
2016-04-07 11:50:19.152760,17.369,17.32,17.31
2016-04-07 11:50:19.344354,17.369,17.32,17.31
2016-04-07 11:50:19.522837,17.369,17.32,17.31
2016-04-07 11:50:19.714677,17.369,17.32,17.31
2016-04-07 11:50:19.884309,17.369,17.32,17.31
2016-04-07 11:50:20.056911,17.369,17.32,17.31
2016-04-07 11:50:20.250170,17.369,17.32,17.31
2016-04-07 11:50:20.443896,17.369,17.32,17.31
2016-04-07 11:50:20.623492,17.369,17.32,17.31
2016-04-07 11:50:20.808963,17.369,17.32,17.31
2016-04-07 11:50:21.020203,17.369,17.32,17.31
2016-04-07 11:50:21.221640,17.369,17.32,17.31
2016-04-07 11:50:21.414506,17.369,17.32,17.31
2016-04-07 11:50:21.621879,17.369,17.32,17.31
2016-04-07 11:50:21.801814,17.369,17.32,17.31
2016-04-07 11:50:21.983603,17.369,17.32,17.31
2016-04-07 11:50:22.184216,17.369,17.32,17.31
2016-04-07 11:50:22.360714,17.369,17.32,17.31
2016-04-07 11:50:22.535560,17.36,17.32,17.31
2016-04-07 11:50:22.699319,17.36,17.32,17.31
2016-04-07 11:50:22.912843,17.36,17.32,17.31
2016-04-07 11:50:23.085850,17.36,17.32,17.31
2016-04-07 11:50:23.266111,17.36,17.32,17.31
2016-04-07 11:50:23.458221,17.36,17.32,17.31
2016-04-07 11:50:23.662563,17.36,17.32,17.31
2016-04-07 11:50:23.848755,17.36,17.32,17.31
2016-04-07 11:50:24.061348,17.36,17.32,17.31
2016-04-07 11:50:24.304167,17.352,17.32,17.31
2016-04-07 11:50:24.519172,17.352,17.32,17.31
2016-04-07 11:50:24.757609,17.352,17.32,17.31
2016-04-07 11:50:24.974532,17.352,17.32,17.31
2016-04-07 11:50:25.214037,17.352,17.32,17.31
2016-04-07 11:50:25.580077,17.352,17.32,17.31
2016-04-07 11:50:25.755938,17.352,17.32,17.31
2016-04-07 11:50:25.917263,17.352,17.32,17.31
2016-04-07 11:50:26.105786,17.352,17.32,17.31
2016-04-07 11:50:26.269273,17.352,17.32,17.31
2016-04-07 11:50:26.438988,17.352,17.32,17.31
2016-04-07 11:50:26.610761,17.352,17.32,17.31
2016-04-07 11:50:26.792408,17.352,17.32,17.31
2016-04-07 11:50:26.985456,17.352,17.32,17.31
