time,price,bid,ask
2016-04-12 12:33:50.804683,149.61,149.11,149.01
2016-04-12 12:33:50.952557,149.61,149.11,149.01
2016-04-12 12:33:51.107801,149.61,149.11,149.01
2016-04-12 12:33:51.255037,149.61,149.11,149.01
2016-04-12 12:33:51.416145,149.61,149.11,149.01
2016-04-12 12:33:51.593913,149.61,149.11,149.01
2016-04-12 12:33:51.747433,149.61,149.11,149.01
2016-04-12 12:33:51.909572,149.61,149.11,149.01
2016-04-12 12:33:52.064907,149.61,149.11,149.01
2016-04-12 12:33:52.227069,149.61,149.11,149.01
2016-04-12 12:33:52.383188,149.61,149.11,149.01
2016-04-12 12:33:52.534836,149.61,149.11,149.01
2016-04-12 12:33:52.694668,149.61,149.11,149.01
2016-04-12 12:33:52.855538,149.61,149.11,149.01
2016-04-12 12:33:53.029495,149.61,149.11,149.01
2016-04-12 12:33:53.181847,149.61,149.11,149.01
2016-04-12 12:33:53.329785,149.61,149.11,149.01
2016-04-12 12:33:53.491467,149.61,149.11,149.01
2016-04-12 12:33:53.651984,149.61,149.11,149.01
2016-04-12 12:33:53.807009,149.61,149.11,149.01
2016-04-12 12:33:53.955867,149.61,149.11,149.01
2016-04-12 12:33:54.154984,149.61,149.11,149.01
2016-04-12 12:33:54.304508,149.61,149.11,149.01
2016-04-12 12:33:54.455056,149.61,149.11,149.01
2016-04-12 12:33:54.605439,149.61,149.11,149.01
2016-04-12 12:33:54.763580,149.61,149.11,149.01
2016-04-12 12:33:54.915143,149.61,149.11,149.01
2016-04-12 12:33:55.070067,149.61,149.11,149.01
2016-04-12 12:33:55.224300,149.61,149.11,149.01
2016-04-12 12:33:55.375495,149.61,149.11,149.01
2016-04-12 12:33:55.529415,149.5605,149.11,149.01
2016-04-12 12:33:55.679374,149.5605,149.11,149.01
2016-04-12 12:33:55.829893,149.5605,149.11,149.01
2016-04-12 12:33:55.985849,149.5605,149.11,149.01
2016-04-12 12:33:56.293377,149.5605,149.11,149.01
2016-04-12 12:33:56.439718,149.5605,149.11,149.01
2016-04-12 12:33:56.590192,149.5605,149.11,149.01
2016-04-12 12:33:56.745703,149.5605,149.11,149.01
2016-04-12 12:33:56.894579,149.5605,149.11,149.01
2016-04-12 12:33:57.046093,149.5605,149.11,149.01
2016-04-12 12:33:57.199815,149.5605,149.11,149.01
2016-04-12 12:33:57.355225,149.5605,149.11,149.01
2016-04-12 12:33:57.511361,149.5605,149.11,149.01
2016-04-12 12:33:57.670156,149.5605,149.11,149.01
2016-04-12 12:33:57.826099,149.5605,149.11,149.01
2016-04-12 12:33:57.977891,149.5605,149.11,149.01
2016-04-12 12:33:58.125666,149.5605,149.11,149.01
2016-04-12 12:33:58.279150,149.5605,149.11,149.01
2016-04-12 12:33:58.447629,149.5605,149.11,149.01
2016-04-12 12:33:58.602475,149.5605,149.11,149.01
2016-04-12 12:33:58.758981,149.5605,149.11,149.01
2016-04-12 12:33:58.924937,149.5605,149.11,149.01
2016-04-12 12:33:59.083337,149.5605,149.11,149.01
2016-04-12 12:33:59.233216,149.5605,149.11,149.01
2016-04-12 12:33:59.732525,149.5605,149.11,149.01
2016-04-12 12:33:59.881546,149.5605,149.11,149.01
2016-04-12 12:34:00.027118,149.5605,149.11,149.01
2016-04-12 12:34:00.191483,149.5605,149.11,149.01
2016-04-12 12:34:00.352628,149.5605,149.11,149.01
2016-04-12 12:34:00.509486,149.5605,149.11,149.01
2016-04-12 12:34:01.065397,149.5605,149.11,149.01
2016-04-12 12:34:01.215452,149.5605,149.11,149.01
2016-04-12 12:34:01.386652,149.5605,149.11,149.01
2016-04-12 12:34:01.654539,149.5605,149.11,149.01
2016-04-12 12:34:02.294771,149.5605,149.11,149.01
2016-04-12 12:34:02.454407,149.5605,149.11,149.01
2016-04-12 12:34:02.607676,149.52,149.11,149.01
2016-04-12 12:34:02.782109,149.52,149.11,149.01
2016-04-12 12:34:02.939220,149.52,149.11,149.01
2016-04-12 12:34:03.518814,149.52,149.11,149.01
2016-04-12 12:34:04.033646,149.52,149.11,149.01
2016-04-12 12:34:04.194636,149.52,149.11,149.01
2016-04-12 12:34:04.753326,149.52,149.11,149.01
2016-04-12 12:34:05.366885,149.52,149.11,149.01
2016-04-12 12:34:05.519028,149.52,149.11,149.01
2016-04-12 12:34:05.668559,149.52,149.11,149.01
2016-04-12 12:34:05.819387,149.52,149.11,149.01
2016-04-12 12:34:05.971688,149.52,149.11,149.01
2016-04-12 12:34:06.491226,149.52,149.11,149.01
2016-04-12 12:34:07.002043,149.52,149.11,149.01
2016-04-12 12:34:07.514438,149.52,149.11,149.01
2016-04-12 12:34:07.662048,149.52,149.11,149.01
2016-04-12 12:34:08.237253,149.52,149.11,149.01
2016-04-12 12:34:08.387721,149.52,149.11,149.01
2016-04-12 12:34:08.540573,149.52,149.11,149.01
2016-04-12 12:34:09.053598,149.52,149.11,149.01
2016-04-12 12:34:09.567900,149.52,149.11,149.01
2016-04-12 12:34:09.721295,149.52,149.11,149.01
2016-04-12 12:34:10.281567,149.52,149.11,149.01
2016-04-12 12:34:10.450296,149.52,149.11,149.01
2016-04-12 12:34:10.608306,149.52,149.11,149.01
2016-04-12 12:34:11.102214,149.52,149.11,149.01
2016-04-12 12:34:11.614051,149.52,149.11,149.01
2016-04-12 12:34:11.765257,149.52,149.11,149.01
2016-04-12 12:34:11.919732,149.52,149.11,149.01
2016-04-12 12:34:12.083433,149.52,149.11,149.01
2016-04-12 12:34:12.636441,149.52,149.11,149.01
2016-04-12 12:34:13.150362,149.52,149.11,149.01
2016-04-12 12:34:13.663508,149.52,149.11,149.01
2016-04-12 12:34:13.818838,149.52,149.11,149.01
2016-04-12 12:34:14.380719,149.52,149.11,149.01
2016-04-12 12:34:14.530395,149.52,149.11,149.01
2016-04-12 12:34:14.692626,149.52,149.11,149.01
2016-04-12 12:34:14.852294,149.52,149.11,149.01
2016-04-12 12:34:15.002529,149.52,149.11,149.01
2016-04-12 12:34:15.156688,149.52,149.11,149.01
2016-04-12 12:34:15.308943,149.52,149.11,149.01
2016-04-12 12:34:15.465216,149.52,149.11,149.01
2016-04-12 12:34:16.040504,149.52,149.11,149.01
2016-04-12 12:34:16.195266,149.52,149.11,149.01
2016-04-12 12:34:16.345436,149.52,149.11,149.01
2016-04-12 12:34:16.518795,149.52,149.11,149.01
2016-04-12 12:34:16.671136,149.52,149.11,149.01
2016-04-12 12:34:16.889508,149.52,149.11,149.01
2016-04-12 12:34:17.045677,149.52,149.11,149.01
2016-04-12 12:34:17.198472,149.52,149.11,149.01
2016-04-12 12:34:17.355932,149.52,149.11,149.01
2016-04-12 12:34:17.507585,149.52,149.11,149.01
2016-04-12 12:34:17.677207,149.52,149.11,149.01
2016-04-12 12:34:17.853337,149.52,149.11,149.01
2016-04-12 12:34:18.006181,149.52,149.11,149.01
2016-04-12 12:34:18.158493,149.52,149.11,149.01
2016-04-12 12:34:18.306188,149.52,149.11,149.01
2016-04-12 12:34:18.455317,149.52,149.11,149.01
2016-04-12 12:34:18.603306,149.52,149.11,149.01
2016-04-12 12:34:18.761501,149.52,149.11,149.01
2016-04-12 12:34:18.912236,149.52,149.11,149.01
2016-04-12 12:34:19.091769,149.52,149.11,149.01
2016-04-12 12:34:19.249055,149.52,149.11,149.01
2016-04-12 12:34:19.401442,149.52,149.11,149.01
2016-04-12 12:34:19.557246,149.52,149.11,149.01
2016-04-12 12:34:19.709076,149.52,149.11,149.01
2016-04-12 12:34:19.855984,149.52,149.11,149.01
2016-04-12 12:34:20.009737,149.52,149.11,149.01
2016-04-12 12:34:20.159274,149.52,149.11,149.01
2016-04-12 12:34:20.313725,149.52,149.11,149.01
2016-04-12 12:34:20.467864,149.52,149.11,149.01
2016-04-12 12:34:20.623146,149.52,149.11,149.01
2016-04-12 12:34:20.781277,149.52,149.11,149.01
2016-04-12 12:34:20.937143,149.52,149.11,149.01
2016-04-12 12:34:21.095967,149.52,149.11,149.01
2016-04-12 12:34:21.253485,149.52,149.11,149.01
2016-04-12 12:34:21.404422,149.52,149.11,149.01
2016-04-12 12:34:21.555501,149.52,149.11,149.01
2016-04-12 12:34:21.706784,149.52,149.11,149.01
2016-04-12 12:34:21.860706,149.52,149.11,149.01
2016-04-12 12:34:22.009683,149.52,149.11,149.01
2016-04-12 12:34:22.167522,149.52,149.11,149.01
2016-04-12 12:34:22.317574,149.52,149.11,149.01
2016-04-12 12:34:22.469947,149.52,149.11,149.01
2016-04-12 12:34:22.616460,149.52,149.11,149.01
2016-04-12 12:34:22.774539,149.52,149.11,149.01
2016-04-12 12:34:22.928111,149.52,149.11,149.01
2016-04-12 12:34:23.090154,149.52,149.11,149.01
2016-04-12 12:34:23.244058,149.52,149.11,149.01
2016-04-12 12:34:23.395762,149.52,149.11,149.01
2016-04-12 12:34:23.550998,149.52,149.11,149.01
2016-04-12 12:34:23.703243,149.52,149.11,149.01
2016-04-12 12:34:23.864922,149.52,149.11,149.01
2016-04-12 12:34:24.014633,149.52,149.11,149.01
2016-04-12 12:34:24.172783,149.52,149.11,149.01
2016-04-12 12:34:24.404429,149.52,149.11,149.01
2016-04-12 12:34:24.565491,149.52,149.11,149.01
2016-04-12 12:34:24.737351,149.52,149.11,149.01
2016-04-12 12:34:25.036453,149.52,149.11,149.01
2016-04-12 12:34:25.183433,149.52,149.11,149.01
2016-04-12 12:34:25.334718,149.52,149.11,149.01
2016-04-12 12:34:25.482732,149.52,149.11,149.01
2016-04-12 12:34:25.630442,149.52,149.11,149.01
2016-04-12 12:34:25.776493,149.52,149.11,149.01
2016-04-12 12:34:25.922535,149.52,149.11,149.01
2016-04-12 12:34:26.465665,149.52,149.11,149.01
2016-04-12 12:34:26.619571,149.52,149.11,149.01
2016-04-12 12:34:26.764621,149.52,149.11,149.01
2016-04-12 12:34:26.912831,149.52,149.11,149.01
2016-04-12 12:34:27.065228,149.52,149.11,149.01
2016-04-12 12:34:27.211093,149.52,149.11,149.01
2016-04-12 12:34:27.362323,149.52,149.11,149.01
2016-04-12 12:34:27.532162,149.52,149.11,149.01
2016-04-12 12:34:27.687689,149.52,149.11,149.01
2016-04-12 12:34:27.833872,149.52,149.11,149.01
2016-04-12 12:34:28.370207,149.52,149.11,149.01
2016-04-12 12:34:28.522740,149.52,149.11,149.01
2016-04-12 12:34:28.860782,149.52,149.11,149.01
2016-04-12 12:34:29.009894,149.52,149.11,149.01
2016-04-12 12:34:29.161534,149.52,149.11,149.01
2016-04-12 12:34:29.310641,149.52,149.11,149.01
2016-04-12 12:34:29.458152,149.52,149.11,149.01
2016-04-12 12:34:29.610873,149.52,149.11,149.01
